,Country,TradeValue,Year,Month,TransactionType
0,Myanmar,47039674,2019,01,Import
1,Myanmar,99121436,2019,01,Export
2,Myanmar,18979044,2019,02,Import
3,Myanmar,67096024,2019,02,Export
4,Myanmar,64397415,2019,03,Import
5,Myanmar,80616252,2019,03,Export
6,Myanmar,29092620,2019,04,Import
7,Myanmar,59481944,2019,04,Export
8,Myanmar,22379849,2019,05,Import
9,Myanmar,83824103,2019,05,Export
10,Myanmar,20426389,2019,06,Import
11,Myanmar,75903599,2019,06,Export
12,Myanmar,23651715,2019,07,Import
13,Myanmar,61911414,2019,07,Export
14,Myanmar,75379060,2019,08,Export
15,Myanmar,58297393,2019,08,Import
16,Myanmar,62569508,2019,09,Import
17,Myanmar,80154501,2019,09,Export
18,Myanmar,83322410,2019,10,Import
19,Myanmar,86389895,2019,10,Export
20,Myanmar,54067343,2019,11,Import
21,Myanmar,82937578,2019,11,Export
22,Myanmar,20940611,2019,12,Import
23,Myanmar,102862256,2019,12,Export
24,Myanmar,21326650,2020,01,Import
25,Myanmar,76598793,2020,01,Export
26,Myanmar,77080083,2020,02,Export
27,Myanmar,58009455,2020,02,Import
28,Myanmar,70763236,2020,03,Export
29,Myanmar,93067462,2020,03,Import
30,Myanmar,32291370,2020,04,Export
31,Myanmar,79863607,2020,04,Import
32,Myanmar,49139575,2020,05,Export
33,Myanmar,46453124,2020,05,Import
34,Myanmar,72868856,2020,06,Export
35,Myanmar,17985284,2020,06,Import
36,Myanmar,41335940,2020,07,Import
37,Myanmar,83198016,2020,07,Export
38,Myanmar,38775292,2020,08,Import
39,Myanmar,89938584,2020,08,Export
40,Myanmar,79685423,2020,09,Export
41,Myanmar,35519865,2020,09,Import
42,Myanmar,61921564,2020,10,Export
43,Myanmar,18950167,2020,10,Import
44,Myanmar,69112569,2020,11,Export
45,Myanmar,53516997,2020,11,Import
46,Myanmar,74234313,2020,12,Export
47,Myanmar,67301631,2020,12,Import
48,Myanmar,80785814,2021,01,Export
49,Myanmar,69036274,2021,01,Import
50,Canada,327375833,2019,01,Import
51,Canada,235748088,2019,01,Export
52,Canada,283402652,2019,02,Import
53,Canada,221827207,2019,02,Export
54,Canada,288087113,2019,03,Import
55,Canada,307840139,2019,03,Export
56,Canada,254107073,2019,04,Import
57,Canada,228845145,2019,04,Export
58,Canada,355972685,2019,05,Import
59,Canada,230048069,2019,05,Export
60,Canada,302213682,2019,06,Import
61,Canada,220799948,2019,06,Export
62,Canada,397069136,2019,07,Import
63,Canada,226975411,2019,07,Export
64,Canada,237447979,2019,08,Export
65,Canada,378093206,2019,08,Import
66,Canada,289935125,2019,09,Import
67,Canada,213145983,2019,09,Export
68,Canada,293072708,2019,10,Import
69,Canada,234325100,2019,10,Export
70,Canada,343980166,2019,11,Import
71,Canada,264372729,2019,11,Export
72,Canada,385078977,2019,12,Import
73,Canada,279356474,2019,12,Export
74,Canada,216462024,2020,01,Import
75,Canada,270195657,2020,01,Export
76,Canada,250271392,2020,02,Export
77,Canada,202933144,2020,02,Import
78,Canada,202042105,2020,03,Import
79,Canada,198056537,2020,03,Export
80,Canada,112439709,2020,04,Export
81,Canada,221784907,2020,04,Import
82,Canada,178607767,2020,05,Export
83,Canada,293527641,2020,05,Import
84,Canada,230973338,2020,06,Export
85,Canada,227048511,2020,06,Import
86,Canada,184470744,2020,07,Import
87,Canada,245982452,2020,07,Export
88,Canada,249935864,2020,08,Import
89,Canada,238349126,2020,08,Export
90,Canada,291484140,2020,09,Export
91,Canada,331096373,2020,09,Import
92,Canada,254137185,2020,10,Export
93,Canada,168043606,2020,10,Import
94,Canada,246009051,2020,11,Export
95,Canada,235259471,2020,11,Import
96,Canada,294918245,2020,12,Export
97,Canada,198773656,2020,12,Import
98,Canada,233196122,2021,01,Import
99,Canada,304060284,2021,01,Export
100,Sri Lanka,81013220,2019,01,Import
101,Sri Lanka,445382120,2019,01,Export
102,Sri Lanka,109889467,2019,02,Import
103,Sri Lanka,421058027,2019,02,Export
